JobID,Title,ExperienceLevel,YearsOfExperience,Responsibilities,Keywords,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18,Skill_19,Skill_20,Skill_21,Skill_22,Skill_23,Skill_24,Skill_25,Skill_26,Skill_27,Skill_28,Skill_29,Skill_30,Skill_31,Skill_32,Skill_33,Skill_34,Skill_35
NET-F-001,.NET Developer,Fresher,0-1,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing,C#,Vb.Net,.Net Framework,.Net Core Fundamentals,Asp.Net,Mvc,Html,Css,Javascript,Sql Server,Entity Framework,Linq,Visual Studio,Git,Unit Testing,,,,,,,,,,,,,,,,,,,,
NET-F-002,.NET Developer,Fresher,0-1,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing,C#,.Net Framework,Asp.Net,Razor,Html,Css,Javascript,Sql Server,Entity Framework,Nunit,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-003,.NET Developer,Fresher,0-1,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git,C#,Vb.Net,.Net Core,Asp.Net Mvc,Html,Css,Javascript,Sql Server,Git,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-004,.NET Developer,Fresher,0-1,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET,C#,.Net Framework,Asp.Net,Sql Server,Html,Css,Linq,Visual Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-005,.NET Developer,Fresher,0-1,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server,C#,Asp.Net,Mvc,Entity Framework,Sql Server,Html,Css,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-006,.NET Developer,Fresher,0-1,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing,C#,.Net Framework,Asp.Net,Razor,Sql Server,Git,Nunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-007,.NET Developer,Fresher,0-1,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server,C#,Vb.Net,.Net Core,Asp.Net Mvc,Html,Css,Sql Server,Visual Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-008,.NET Developer,Fresher,0-1,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server,C#,.Net Framework,Asp.Net Mvc,Entity Framework,Sql Server,Linq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-009,.NET Developer,Fresher,0-1,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server,C#,.Net Framework,Asp.Net,Html,Css,Sql Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET-F-010,.NET Developer,Fresher,0-1,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git,C#,Asp.Net Mvc,.Net Core,Entity Framework,Sql Server,Git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
